created_at;id;id_str;text;source;truncated;in_reply_to_status_id;in_reply_to_status_id_str;in_reply_to_user_id;in_reply_to_user_id_str;in_reply_to_screen_name;geo;coordinates;place;contributors;is_quote_status;filter_level;lang;timestamp_ms;user_id;user_id_str;user_screen_name;user_location;user_description;user_protected;user_verified;user_followers_count;user_friends_count;user_created_at;entities_screen_name;entities_name;entities_id;entities_id_str;possibly_sensitive;quoted_status_id;quoted_status_id_str;quoted_status;quoted_status_permalink;extended_entities
Tue Feb 01 12:05:50 +0000 2022;1488483729077153797;1488483729077153797;RT @Bruno_GarciaBR: Em um possível segundo entre Jair Bolsonaro e Ciro Gomes, para quem iria seu voto ?;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717150359;583771415;583771415;MarioMesquita11;;;False;False;816;643;Fri May 18 12:42:19 +0000 2012;Bruno_GarciaBR;BRUNO GARCIA 🇧🇷2️⃣2️⃣🇧🇷;1465294072055308290;1465294072055308290;;;;;;
Tue Feb 01 12:05:58 +0000 2022;1488483763579498499;1488483763579498499;RT @JornalGGN: E o Exército nada sabe e nada diz. Se o Exército quiser mais informações, poderá consultar uma ferramenta tecnológica inédit…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717158585;1212866920111730689;1212866920111730689;IzelPinheiro;;Ativista cibernético;False;False;121;478;Thu Jan 02 22:43:51 +0000 2020;JornalGGN;JornalGGN;1347385232;1347385232;;;;;;
Tue Feb 01 12:07:04 +0000 2022;1488484039061291012;1488484039061291012;"RT @paololibano: Bolsonaro e Lula Nunca Mais!
Agora é Moro!";"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717224265;1113842342920884224;1113842342920884224;JCetico2;Aqui.;Technology;False;False;17;35;Thu Apr 04 16:34:43 +0000 2019;paololibano;Paolo Libano;67791839;67791839;;;;;;
Tue Feb 01 12:11:07 +0000 2022;1488485058835066881;1488485058835066881;RT @MarceloBackes_: O pior do Brasil de Bolsonaro se juntou no assassinato de Moïse Kabamgabe. Ele foi amarrado, torturado e espancado até…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717467398;1187786599406411776;1187786599406411776;Sandra85949029;;;False;False;102;178;Fri Oct 25 17:43:06 +0000 2019;MarceloBackes_;Marcelo Backes 🚩;1082939283298811904;1082939283298811904;;;;;;
Tue Feb 01 12:08:58 +0000 2022;1488484517841195008;1488484517841195008;"RT @kimpaim: Hoje, o Mamateiro Mainardi jogou a toalha pela primeira vez desde que Segio Moro se assumiu candidato

Escreveu em sua nota qu…";"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717338415;207777620;207777620;TSXUXU;BRASIL;Eu sou feliz em Cristo Jesus!Adoro ao meu Deus e amo meu País 🇧🇷;False;False;1143;1522;Tue Oct 26 00:51:41 +0000 2010;kimpaim;Kim D. Paim;75264300;75264300;;;;;;
Tue Feb 01 12:07:25 +0000 2022;1488484129347751936;1488484129347751936;"RT @Yang_guang419: 💉⚰ Se vacuna y un mes después muere ""DE REPENTE"" de una parada cardiaca con sólo 41 años la periodista brasileña HELAINE…";"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;es;1643717245791;1411864561435611142;1411864561435611142;tina729185268;;;False;False;767;559;Mon Jul 05 01:48:58 +0000 2021;Yang_guang419;阳光明媚 （澳喜特战旅）;1417864676705251335;1417864676705251335;;;;;;
Tue Feb 01 12:08:08 +0000 2022;1488484308172128268;1488484308172128268;RT @Carolmph: Randolfe quer convocar ministro da Justiça e diretor da PF por relatório favorável a Bolsonaro - Eles podem te convocar  tamb…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717288426;1160705119102668802;1160705119102668802;Flv73547666;;G.D.O;False;False;519;655;Mon Aug 12 00:10:40 +0000 2019;Carolmph;Carol;76015842;76015842;;;;;;
Tue Feb 01 12:00:58 +0000 2022;1488482505275621381;1488482505275621381;RT @SilvioTitio: Aqui no nosso município Japeri baixada fluminense RJ o valor do botijão de cozinha terá um reajuste do valor que já é exor…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716858582;2369971419;2369971419;tubaraodbonito;;#Anticomunista, #proarmas, #probolsonaro, #protrump , #direitasempre;False;False;3374;4969;Thu Feb 27 23:04:15 +0000 2014;SilvioTitio;Titio Silvio e Titia Cila ❤️;1391828736593514496;1391828736593514496;;;;;;
Tue Feb 01 12:00:50 +0000 2022;1488482472249724935;1488482472249724935;RT @senadorhumberto: Bolsonaro é um presidente que tenta passar a imagem de arrogante e prepotente, mas na verdade é um covarde que não sab…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643716850708;1351281071095209984;1351281071095209984;NilzaNogueira12;;Dedicação ao próximo;False;False;29;131;Mon Jan 18 21:31:53 +0000 2021;senadorhumberto;Humberto Costa;76049312;76049312;;;;;;
Tue Feb 01 12:05:59 +0000 2022;1488483767345991680;1488483767345991680;RT @Carolmph: Bolsonaro abre o caminho para o futuro e Elon Musk deve investir pesado no Brasil https://t.co/Usoph1aYHB;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717159483;1261265527391031296;1261265527391031296;ignatti_junior;Perth, Western Australia;Graduado em Comunicação Social e Fisioterapeuta especialista em Acupuntura, terapias manuais com ênfase em técnicas osteopáticas. Avanti Palestra!;False;False;994;1065;Fri May 15 12:02:50 +0000 2020;Carolmph;Carol;76015842;76015842;False;;;;;
Tue Feb 01 12:10:59 +0000 2022;1488485027449274369;1488485027449274369;RT @psi_alexsandro: É FARSA o aumento d 33% p/ professores! Bolsonaro está apenas jogando a população contra governadores e prefeitos (igua…;"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>";False;;;;;;;;;;False;low;pt;1643717459915;155671766;155671766;MarcelSalomon;;Ainda acredita numa sociedade justa!;False;False;6031;6193;Mon Jun 14 19:52:11 +0000 2010;psi_alexsandro;Alexsandro Nascimento;1289218599303950336;1289218599303950336;;;;;;
Tue Feb 01 12:10:12 +0000 2022;1488484826533535748;1488484826533535748;RT @carmelonetobr: URGENTE! Acaba de cair por terra mais uma narrativa da CPI. A PF acabou de concluir que Bolsonaro não prevaricou no caso…;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;False;low;pt;1643717412013;1432012315751297035;1432012315751297035;ValdemarConti;;;False;False;1;17;Sun Aug 29 16:09:05 +0000 2021;carmelonetobr;Carmelo Neto;3662771592;3662771592;;;;;;
Tue Feb 01 11:59:56 +0000 2022;1488482242833879040;1488482242833879040;RT @wadih_damous: Bolsonaro não cometeu crime de prevaricação de acordo com um “palpite” de um delegado federal. Reconheceu o fato mas conc…;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";False;;;;;;;;;;False;low;pt;1643716796011;826215661047250945;826215661047250945;UDuenhas;Penha, São Paulo;;False;False;124;462;Mon Jan 30 23:48:58 +0000 2017;wadih_damous;Wadih Damous;2613749605;2613749605;;;;;;
Tue Feb 01 12:04:03 +0000 2022;1488483280894763009;1488483280894763009;RT @BangsLester: Imagina, Folha, quando vocês descobrirem que o ex-ministro de Bolsonaro, nos tempos de juiz, praticava lawfare.;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";False;;;;;;;;;;True;low;pt;1643717043504;39665711;39665711;BangsLester;São Paulo, SP, Brazil;Eu sou um sujeito cuja descrição das características e qualidades não chegaria a 160 caracteres mesmo!;False;False;1171;2347;Wed May 13 02:25:53 +0000 2009;BangsLester;iendiS;39665711;39665711;;1.4882995918418207e+18;1.4882995918418207e+18;1.4882995918418207e+18;;
